Geo Type,Geo ID,Population,Cancer,Historic Redlining Score,Hazardous Waste Proximity,Routine Checkup,Mammogram,Socioeconomic Status,Housing & Transportation,Racial & Ethnic Minority Status,Household Characteristics
tract,26145012500,4001,9.7%,,0,78.9%,75.5%,38,20,6,38
tract,26103001800,2834,9.7%,,0,78.8%,77.6%,16,18,12,22
tract,26099231900,6143,9.7%,,72,79.3%,78.4%,48,35,23,60
tract,26125128600,3696,9.7%,,36,78.5%,76.3%,18,2,12,15
tract,26147633200,2680,9.7%,,23,78.5%,77.3%,12,24,7,26
tract,26125129000,3141,9.7%,,37,78.1%,73.8%,21,78,14,42
tract,26125131400,2081,9.7%,,16,78.1%,76.6%,6,2,17,3
tract,26125132100,6090,9.7%,,47,77.7%,75.7%,11,57,10,57
tract,26125187000,2431,9.7%,2.4,73,78.8%,80.7%,6,4,14,8
tract,26133970200,4146,9.7%,,13,77.8%,74.8%,59,51,9,61
tract,26125150300,4938,9.7%,,61,79.7%,79.1%,10,12,37,62
tract,26081011301,4732,9.7%,,48,78.1%,75.6%,33,17,22,28
tract,26125157200,3897,9.7%,,53,80.6%,76.5%,69,36,53,65
tract,26155031401,5866,9.7%,,19,78.1%,75.9%,15,47,11,27
tract,26125165100,4072,9.7%,3.0,58,79.2%,77.1%,16,66,32,13
tract,26105950600,5117,9.7%,,0,78.4%,75.6%,57,85,22,54
tract,26125181100,2712,9.7%,,86,78.2%,71.4%,48,71,15,51
tract,26147652100,2480,9.7%,,0,78.4%,69.4%,62,16,5,36
tract,26147655600,3242,9.7%,,13,78.2%,73.5%,49,43,10,42
tract,26147658500,3757,9.7%,,0,78.3%,75.2%,14,32,4,20
tract,26161448000,3919,9.7%,,31,73.6%,79.7%,3,1,22,48
tract,26111291300,4454,9.7%,,54,77.1%,79.3%,29,46,8,26
tract,26113960300,4974,9.7%,,26,77.6%,74.8%,53,82,10,76
tract,26115831000,3133,9.7%,,23,78.0%,73.0%,18,29,20,73
tract,26151970200,2432,9.7%,,0,78.2%,75.4%,49,28,4,56
tract,26091062000,2701,9.7%,,37,77.9%,79.2%,42,24,6,38
tract,26117970100,4520,9.7%,,17,78.0%,74.1%,65,43,6,21
tract,26117971300,4880,9.7%,,55,77.5%,74.9%,50,92,25,88
tract,26093743700,2517,9.7%,,23,78.9%,77.7%,15,18,2,23
tract,26163562700,3531,9.7%,,66,78.7%,83.6%,3,32,11,35
tract,26037010500,3685,9.6%,,16,78.1%,77.4%,16,27,8,51
tract,26049010813,4439,9.6%,,43,79.8%,76.7%,71,92,53,67
tract,26049011901,2573,9.6%,,24,78.4%,75.4%,57,21,28,43
tract,26057000100,3858,9.6%,,20,77.6%,74.8%,47,41,5,38
tract,26081010802,6277,9.6%,,24,77.4%,74.7%,29,46,21,39
tract,26091061800,3935,9.6%,,0,77.4%,76.5%,72,89,15,87
tract,26099206700,3836,9.6%,,28,78.7%,80.2%,37,87,34,90
tract,26099230700,5186,9.6%,,74,79.0%,74.0%,57,10,25,26
tract,26099240300,3929,9.6%,,63,79.0%,75.7%,20,76,43,97
tract,26109960600,3739,9.6%,,69,77.3%,73.3%,17,28,4,36
tract,26115833200,4340,9.6%,,29,77.9%,74.6%,6,7,8,20
tract,26125130600,3152,9.6%,,24,78.0%,71.8%,7,5,12,25
tract,26125135300,5388,9.6%,,34,78.6%,77.6%,2,15,29,36
tract,26147655100,5018,9.6%,,0,78.1%,71.3%,70,80,7,43
tract,26157001000,5150,9.6%,,0,78.8%,75.5%,45,45,3,25
tract,26075005200,6785,9.6%,,37,77.6%,81.4%,18,18,41,44
tract,26009960700,4970,9.6%,,23,77.1%,75.2%,27,41,7,40
tract,26017285600,7144,9.6%,,66,78.3%,80.1%,12,66,6,16
tract,26025002400,3032,9.6%,,38,77.6%,77.2%,33,37,25,43
tract,26037010108,4205,9.6%,,35,79.2%,78.9%,7,20,22,45
tract,26037011101,4688,9.6%,,32,79.0%,77.2%,12,7,3,57
tract,26045021202,3644,9.6%,,27,78.1%,76.2%,13,26,9,27
tract,26045020302,6724,9.6%,,50,79.3%,78.3%,5,21,28,13
tract,26049012008,2979,9.6%,,38,77.2%,75.2%,51,49,7,80
tract,26057000700,3203,9.6%,,0,77.6%,75.5%,38,44,12,31
tract,26049013110,2238,9.6%,,27,77.6%,80.6%,16,3,20,40
tract,26099251700,2869,9.6%,3.0,51,79.7%,79.4%,42,50,33,20
tract,26099211000,5869,9.6%,,0,77.9%,76.6%,60,83,26,75
tract,26121002700,7822,9.6%,,68,78.1%,77.4%,18,38,23,24
tract,26125120000,3123,9.6%,,18,78.0%,75.2%,46,50,6,13
tract,26145012900,4415,9.6%,,0,78.6%,77.3%,52,60,10,37
tract,26103001300,4016,9.6%,,17,78.9%,75.3%,44,63,10,43
tract,26099230900,7652,9.6%,,74,79.2%,78.0%,52,63,2,46
tract,26147644000,4236,9.6%,,58,78.6%,75.9%,61,16,3,39
tract,26077001601,2889,9.6%,,71,78.2%,81.8%,4,37,26,11
tract,26125183600,4536,9.6%,2.0,70,79.1%,78.3%,9,40,24,15
tract,26125130700,7047,9.6%,,23,77.8%,74.4%,29,25,18,43
tract,26125134400,4675,9.6%,,46,78.5%,76.5%,23,9,20,37
tract,26079950300,4898,9.6%,,36,77.9%,74.2%,62,90,13,90
tract,26079950400,3705,9.6%,,0,77.7%,73.4%,68,61,11,20
tract,26081000200,2206,9.6%,3.0,71,77.4%,76.2%,56,15,26,55
tract,26133970400,3426,9.6%,,42,78.1%,74.1%,81,92,11,83
tract,26137950300,5360,9.6%,,15,78.0%,74.0%,57,88,15,83
tract,26125156900,3215,9.6%,,42,80.4%,78.6%,30,4,45,68
tract,26155031301,4162,9.6%,,0,77.8%,76.2%,13,24,8,16
tract,26155031600,3718,9.6%,,29,77.4%,76.5%,56,76,12,83
tract,26125167300,3662,9.6%,,69,79.6%,76.8%,65,98,58,87
tract,26081014806,5793,9.6%,,53,78.4%,77.6%,3,10,1,15
tract,26147652600,3194,9.6%,,0,78.5%,75.6%,33,19,19,13
tract,26087331000,1738,9.6%,,0,76.7%,74.3%,49,26,7,65
tract,26107961000,5831,9.6%,,20,77.0%,74.4%,63,53,15,80
tract,26159010100,6801,9.6%,,0,78.2%,72.7%,73,72,12,68
tract,26087340000,4026,9.6%,,16,77.0%,78.3%,14,32,1,14
tract,26149041200,2881,9.6%,,20,77.4%,73.8%,61,67,19,71
tract,26149041500,4647,9.6%,,31,76.8%,74.2%,51,63,22,74
tract,26151970300,3384,9.6%,,0,77.2%,75.4%,65,72,8,62
tract,26093721100,3336,9.6%,,35,77.9%,76.4%,32,23,4,15
tract,26093724001,2261,9.6%,,67,77.9%,78.0%,37,92,5,19
tract,26161404400,2126,9.6%,,75,74.4%,81.8%,4,23,47,34
tract,26093730102,4098,9.6%,,55,78.2%,81.0%,11,12,2,20
tract,26093730600,3790,9.6%,,37,78.8%,81.7%,11,18,3,3
tract,26093743600,3043,9.6%,,27,78.6%,78.4%,4,1,15,6
tract,26163558800,2575,9.6%,,69,77.8%,79.3%,7,10,29,7
tract,26163561300,7580,9.6%,,60,79.8%,81.1%,0,0,42,31
tract,26099250900,2694,9.5%,,55,78.6%,80.6%,40,20,8,83
tract,26093710500,1862,9.5%,,32,78.0%,81.2%,9,1,10,3
tract,26121001902,4930,9.5%,,76,78.0%,74.8%,77,91,34,91
tract,26125144300,3756,9.5%,,19,77.3%,76.0%,33,8,15,14
tract,26125165000,2941,9.5%,3.0,58,79.2%,78.0%,20,30,30,52
tract,26125166600,3658,9.5%,,49,80.5%,76.0%,43,94,68,53
tract,26125166900,3437,9.5%,,55,80.0%,77.6%,22,31,51,52
tract,26161422900,2100,9.5%,,40,73.3%,78.0%,11,29,23,53
tract,26067030400,6579,9.5%,,28,77.9%,74.3%,24,37,7,13
tract,26075005100,4539,9.5%,3.0,40,75.6%,75.2%,49,11,17,66
tract,26015010100,6233,9.5%,,17,77.6%,73.4%,71,37,7,40
tract,26005032402,4074,9.5%,,54,77.9%,78.3%,12,53,7,10
tract,26021021400,4350,9.5%,,13,79.7%,77.0%,54,86,50,59
tract,26017280500,3196,9.5%,2.1,0,78.3%,78.7%,48,15,15,55
tract,26045020800,5153,9.5%,,16,77.8%,75.8%,42,59,15,70
tract,26049011610,6906,9.5%,,32,78.0%,80.1%,2,12,7,14
tract,26049012009,2620,9.5%,,36,77.2%,78.2%,31,24,7,44
tract,26057000500,5199,9.5%,,54,77.8%,74.3%,57,99,21,89
tract,26059050300,2227,9.5%,,39,76.9%,73.1%,46,72,3,64
tract,26051000800,4131,9.5%,,0,77.7%,76.1%,68,88,12,49
tract,26055550101,5940,9.5%,,25,79.8%,79.0%,8,31,14,11
tract,26099250600,2818,9.5%,2.9,49,78.6%,78.1%,42,31,10,39
tract,26123970400,5143,9.5%,,0,77.4%,73.6%,39,45,21,69
tract,26099233000,5733,9.5%,,66,78.8%,81.7%,21,10,20,18
tract,26077001905,5822,9.5%,,76,77.8%,77.8%,34,88,35,28
tract,26125196200,4306,9.5%,,65,79.3%,76.2%,25,32,39,57
tract,26125150100,3413,9.5%,2.6,65,80.2%,76.6%,56,50,53,71
tract,26125156100,4544,9.5%,,39,79.6%,79.1%,11,17,49,14
tract,26081011405,3011,9.5%,,62,76.5%,75.7%,30,26,33,53
tract,26139021604,7341,9.5%,,33,80.1%,79.4%,8,2,9,27
tract,26125168700,3901,9.5%,,56,81.2%,79.6%,19,29,59,38
tract,26125180300,2954,9.5%,3.0,77,77.3%,74.8%,23,21,14,41
tract,26161422200,7542,9.5%,,40,73.3%,78.0%,11,29,23,53
tract,26147657200,5501,9.5%,,14,78.0%,76.1%,26,9,3,39
tract,26159010500,3371,9.5%,,30,79.5%,73.5%,75,88,53,63
tract,26159011600,5978,9.5%,,0,78.3%,75.0%,56,78,26,48
tract,26091061200,1751,9.5%,,41,77.8%,80.1%,37,27,5,38
tract,26091061400,3581,9.5%,,57,77.7%,78.2%,65,65,40,68
tract,26111291200,5552,9.5%,,51,77.9%,80.2%,15,36,9,47
tract,26115830400,4008,9.5%,,23,77.6%,71.4%,34,44,12,68
tract,26139023200,2521,9.5%,,14,79.9%,77.4%,9,46,1,13
tract,26093725000,4950,9.5%,,61,77.6%,77.2%,52,79,16,34
tract,26117970200,3467,9.5%,,15,77.6%,73.3%,64,88,11,80
tract,26099261400,2661,9.5%,,77,79.1%,78.7%,34,9,45,35
tract,26093744200,3713,9.5%,,46,78.8%,78.3%,5,15,17,5
tract,26163556300,3316,9.5%,,61,78.9%,75.4%,57,30,33,82
tract,26163580500,2803,9.5%,2.6,75,77.8%,79.3%,13,15,4,17
tract,26049010810,4880,9.5%,,38,81.3%,82.6%,36,57,70,77
tract,26087338500,4744,9.5%,,20,76.6%,75.9%,46,29,13,16
tract,26163589300,3968,9.5%,,38,78.7%,78.1%,22,39,21,31
tract,26065004802,3362,9.4%,,38,78.4%,82.9%,4,7,26,3
tract,26017280800,3420,9.4%,3.0,18,78.5%,75.6%,39,14,28,40
tract,26025001600,2862,9.4%,3.0,50,78.1%,75.2%,14,11,33,46
tract,26049012007,1643,9.4%,,40,77.8%,68.6%,88,24,20,44
tract,26087330500,2875,9.4%,,0,77.1%,73.6%,57,26,4,49
tract,26091062200,2556,9.4%,,0,77.2%,80.4%,49,16,5,46
tract,26093743500,2014,9.4%,,22,78.0%,78.8%,14,5,16,6
tract,26125183400,2725,9.4%,2.0,70,78.2%,77.4%,20,54,30,4
tract,26125192200,6028,9.4%,,53,79.6%,79.3%,6,0,36,34
tract,26111291000,5752,9.4%,,60,77.3%,83.7%,11,64,27,35
tract,26125121400,4860,9.4%,,0,78.5%,75.1%,20,34,24,34
tract,26125122900,2008,9.4%,,0,77.4%,71.8%,30,32,14,35
tract,26149041600,3305,9.4%,,27,76.8%,73.2%,47,29,14,52
tract,26163575000,3774,9.4%,2.7,72,77.9%,81.1%,11,35,24,14
tract,26163576700,3233,9.4%,,72,78.3%,81.6%,30,33,32,49
tract,26067031300,8036,9.4%,,0,77.7%,77.4%,9,34,20,26
tract,26067031400,4703,9.4%,,40,77.9%,80.6%,1,28,13,29
tract,26005031800,4691,9.4%,,24,77.3%,79.7%,28,73,20,12
tract,26075005500,4758,9.4%,3.0,62,75.9%,76.9%,46,75,39,53
tract,26075005700,2656,9.4%,,51,75.5%,77.5%,20,18,22,76
tract,26075006701,5095,9.4%,,28,75.2%,76.3%,61,57,23,55
tract,26023950200,3834,9.4%,,0,77.4%,73.0%,61,54,23,73
tract,26025002300,3643,9.4%,,36,78.0%,75.9%,19,56,26,15
tract,26041970900,2541,9.4%,,0,78.1%,75.4%,82,84,17,61
tract,26043950500,3015,9.4%,,0,78.1%,75.9%,28,38,12,57
tract,26049010110,2421,9.4%,,15,76.9%,77.3%,67,68,19,69
tract,26049010502,3817,9.4%,,37,80.1%,77.7%,71,57,50,86
tract,26049011101,9047,9.4%,,38,78.5%,79.8%,18,66,35,97
tract,26059050500,4531,9.4%,,33,77.6%,73.3%,57,94,9,48
tract,26049013401,5974,9.4%,,22,77.9%,77.7%,14,16,15,11
tract,26099250800,2855,9.4%,,56,79.0%,76.8%,35,32,16,46
tract,26099247500,1823,9.4%,,50,80.0%,79.9%,68,88,44,45
tract,26145010401,2542,9.4%,,45,81.0%,76.9%,49,65,43,96
tract,26145010402,5256,9.4%,2.0,40,79.4%,81.2%,50,67,35,84
tract,26125121700,5457,9.4%,,0,77.9%,76.5%,10,12,14,11
tract,26099226100,7848,9.4%,,55,79.0%,76.6%,30,6,15,60
tract,26125124000,5472,9.4%,,29,77.4%,73.8%,47,83,20,37
tract,26125126500,3205,9.4%,,0,77.9%,76.8%,6,2,8,13
tract,26077002002,3903,9.4%,,62,76.6%,82.1%,27,14,25,18
tract,26125131800,3757,9.4%,,22,77.8%,74.1%,46,43,15,33
tract,26125134600,4087,9.4%,,54,77.8%,70.4%,23,7,15,61
tract,26125134900,3778,9.4%,,60,77.8%,76.6%,26,28,21,36
tract,26079950200,5096,9.4%,,27,78.0%,73.6%,53,79,14,44
tract,26127010600,5426,9.4%,,15,78.0%,73.3%,60,85,15,56
tract,26081002300,4157,9.4%,2.3,81,77.8%,78.3%,13,38,24,19
tract,26081010302,6217,9.4%,,14,76.9%,77.3%,16,23,13,63
tract,26081011102,5253,9.4%,,49,77.8%,76.6%,17,40,24,53
tract,26157000900,5149,9.4%,,0,78.2%,72.8%,59,92,20,65
tract,26139021400,8232,9.4%,,46,80.1%,77.9%,3,20,2,19
tract,26125168600,5842,9.4%,,60,80.1%,74.7%,61,8,56,37
tract,26163593200,3680,9.4%,,64,78.2%,82.4%,6,5,28,44
tract,26159010900,7614,9.4%,,20,78.5%,72.7%,18,24,16,6
tract,26111290500,1980,9.4%,,70,76.8%,81.0%,21,3,6,11
tract,26093712101,3122,9.4%,,48,78.1%,79.9%,3,12,2,12
tract,26093713500,3812,9.4%,,36,77.7%,78.2%,6,10,14,24
tract,26115831400,6856,9.4%,,34,77.8%,70.9%,42,75,15,43
tract,26117970600,5205,9.4%,,13,77.8%,76.6%,34,34,20,9
tract,26093744800,4559,9.4%,,46,78.5%,77.3%,5,1,13,17
tract,26163550100,4007,9.4%,1.2,55,79.4%,83.1%,4,7,22,13
tract,26163571600,1842,9.4%,,67,79.0%,74.0%,64,84,21,97
tract,26163571900,2735,9.4%,,69,79.2%,76.9%,78,18,41,66
tract,26029001100,1856,9.4%,,14,78.0%,75.2%,51,57,20,60
tract,26065005800,5866,9.3%,,22,77.7%,79.2%,36,66,3,35
tract,26067030100,6761,9.3%,,20,77.8%,73.7%,74,69,20,51
tract,26049010503,2387,9.3%,,24,77.6%,76.9%,48,24,32,84
tract,26099250100,2140,9.3%,,54,77.9%,80.3%,63,7,23,29
tract,26093730101,2830,9.3%,,52,78.1%,77.8%,7,11,11,4
tract,26093740300,2173,9.3%,,45,77.8%,83.5%,2,4,10,3
tract,26099225500,5334,9.3%,,53,78.4%,78.6%,16,45,8,18
tract,26125183200,3474,9.3%,3.0,73,77.9%,77.8%,19,36,29,23
tract,26125193300,4545,9.3%,,51,78.5%,79.7%,20,72,38,51
tract,26125144200,4357,9.3%,,13,77.0%,72.3%,39,16,13,13
tract,26125157400,2627,9.3%,,50,79.7%,75.2%,40,20,35,45
tract,26147624000,1662,9.3%,,55,79.7%,65.9%,97,87,31,94
tract,26147634100,3669,9.3%,,37,77.2%,72.8%,51,33,20,22
tract,26159010200,6087,9.3%,,20,79.0%,79.0%,48,77,43,81
tract,26065003302,2237,9.3%,3.0,69,79.5%,83.3%,19,3,47,39
tract,26163566600,1967,9.3%,,84,80.3%,78.8%,37,40,41,63
tract,26065006200,5690,9.3%,,26,77.2%,77.7%,24,14,7,13
tract,26073000300,5205,9.3%,,32,76.6%,74.3%,51,76,6,27
tract,26073000900,3935,9.3%,,26,77.3%,74.2%,42,41,15,43
tract,26015011400,6350,9.3%,,27,77.1%,79.7%,46,11,18,43
tract,26045020201,2918,9.3%,,70,81.0%,78.3%,17,11,61,46
tract,26049011503,4634,9.3%,,37,77.5%,78.9%,43,64,39,50
tract,26049011710,2411,9.3%,,47,77.8%,79.0%,60,69,17,64
tract,26049010912,2909,9.3%,,52,78.2%,78.6%,54,79,33,56
tract,26055550400,6933,9.3%,,14,79.5%,76.4%,24,20,15,18
tract,26065001703,4323,9.3%,2.9,69,80.7%,82.0%,51,68,63,38
tract,26099250200,2700,9.3%,3.0,52,78.3%,79.8%,16,6,11,59
tract,26121001800,5018,9.3%,,55,77.5%,73.5%,56,59,21,70
tract,26099210000,4514,9.3%,,0,78.0%,79.7%,58,70,18,18
tract,26123971100,4189,9.3%,,23,77.1%,73.4%,61,85,32,94
tract,26125127500,6973,9.3%,,22,78.4%,72.6%,31,26,45,41
tract,26125127600,4795,9.3%,,43,78.6%,77.9%,8,6,21,37
tract,26147640200,2402,9.3%,,43,77.9%,79.2%,18,30,10,5
tract,26125196500,5433,9.3%,,64,80.9%,76.5%,14,8,60,76
tract,26125140302,3958,9.3%,,65,78.1%,78.1%,50,40,45,16
tract,26081012002,6279,9.3%,,26,77.2%,76.7%,19,45,7,11
tract,26081012607,5577,9.3%,,85,79.3%,78.0%,49,84,61,93
tract,26139021603,4397,9.3%,,42,78.3%,73.8%,7,27,10,23
tract,26163587000,3889,9.3%,,57,79.4%,76.3%,72,79,48,52
tract,26105950500,3620,9.3%,,0,78.5%,70.5%,48,85,14,61
tract,26147651600,4013,9.3%,,13,77.4%,79.5%,20,57,4,38
tract,26115830500,3849,9.3%,,16,78.1%,74.1%,38,18,14,41
tract,26115832900,4405,9.3%,,0,77.8%,71.9%,29,56,14,35
tract,26161403200,3084,9.3%,,74,74.8%,79.4%,10,4,37,52
tract,26093743300,2693,9.3%,,35,78.4%,77.0%,6,3,8,5
tract,26099260200,2302,9.3%,,76,78.7%,78.9%,36,5,20,8
tract,26163558200,4499,9.3%,,69,78.8%,83.3%,17,77,35,24
tract,26163558300,1739,9.3%,,76,78.5%,80.2%,49,48,28,46
tract,26163558500,3961,9.3%,,73,76.7%,78.7%,7,43,16,29
tract,26065006100,4522,9.2%,,14,76.6%,77.9%,24,57,23,59
tract,26049012503,2769,9.2%,,28,77.7%,77.1%,69,66,11,46
tract,26077006701,2913,9.2%,,41,76.2%,76.7%,48,55,15,73
tract,26099225900,5249,9.2%,,62,78.4%,77.8%,26,39,11,9
tract,26125181300,6002,9.2%,,84,78.0%,72.8%,37,70,25,84
tract,26145010403,5593,9.2%,,42,79.3%,76.1%,74,53,43,61
tract,26065003901,1856,9.2%,,62,78.2%,81.4%,23,44,52,33
tract,26163558000,4195,9.2%,,66,77.1%,79.3%,18,22,22,38
tract,26163562600,3759,9.2%,,69,78.2%,83.0%,1,23,17,17
tract,26065006001,3393,9.2%,,0,76.4%,78.6%,26,34,7,13
tract,26065006402,3236,9.2%,,22,77.1%,78.3%,28,64,13,15
tract,26005032000,5046,9.2%,,33,77.2%,76.3%,73,89,23,46
tract,26073940100,4198,9.2%,,19,76.8%,74.2%,57,66,11,22
tract,26075005900,3944,9.2%,,58,75.3%,73.8%,62,98,33,96
tract,26015010200,5518,9.2%,,24,77.7%,78.2%,13,39,13,35
tract,26021000700,2819,9.2%,,48,81.5%,79.5%,64,53,64,27
tract,26025002000,4953,9.2%,,29,77.5%,78.4%,3,78,33,27
tract,26027001100,2944,9.2%,,59,77.0%,74.1%,66,37,24,73
tract,26037010107,4162,9.2%,,36,78.4%,80.4%,7,23,24,8
tract,26049012504,1943,9.2%,,16,76.9%,78.3%,55,10,22,59
tract,26049013001,2530,9.2%,,17,77.4%,79.9%,22,7,8,8
tract,26049013002,4033,9.2%,,24,77.1%,78.6%,45,51,6,13
tract,26099251500,2027,9.2%,,53,79.2%,78.8%,47,34,24,39
tract,26099247300,6316,9.2%,,50,78.7%,81.2%,1,19,25,2
tract,26099250000,2260,9.2%,,54,78.4%,79.6%,30,17,20,6
tract,26145010800,2600,9.2%,,49,80.8%,75.0%,62,34,53,36
tract,26099222800,3273,9.2%,,47,79.1%,82.7%,23,41,39,4
tract,26125122200,3700,9.2%,,0,77.6%,73.9%,9,31,26,10
tract,26125122700,3173,9.2%,,0,77.4%,75.3%,15,11,14,44
tract,26147630400,5809,9.2%,,39,78.5%,74.8%,21,27,4,66
tract,26099231500,5080,9.2%,,79,78.4%,78.3%,69,30,24,66
tract,26099232500,4425,9.2%,,66,79.6%,82.6%,17,8,39,21
tract,26147634600,5503,9.2%,,46,77.7%,73.4%,46,42,14,18
tract,26077001506,8350,9.2%,,64,77.4%,80.1%,70,63,53,27
tract,26125194100,2901,9.2%,,61,78.7%,78.3%,2,9,24,24
tract,26125197300,4621,9.2%,,80,78.1%,78.1%,30,35,33,13
tract,26125144100,4012,9.2%,,38,77.5%,75.7%,24,23,28,14
tract,26081010700,5790,9.2%,,0,77.4%,75.6%,50,34,19,25
tract,26139020100,5393,9.2%,,32,79.5%,75.8%,25,46,13,17
tract,26125166800,3498,9.2%,,56,81.0%,79.6%,18,31,59,13
tract,26125167000,5454,9.2%,,51,79.9%,76.8%,32,60,54,23
tract,26125170000,2436,9.2%,3.0,69,78.2%,74.9%,1,5,11,4
tract,26087330000,3870,9.2%,,0,76.5%,76.6%,60,36,18,46
tract,26087331500,2770,9.2%,,0,77.2%,74.9%,68,42,1,19
tract,26087332000,5695,9.2%,,0,76.8%,75.0%,20,29,7,58
tract,26163597000,4535,9.2%,,55,76.9%,78.3%,36,53,23,35
tract,26163598000,3186,9.2%,,48,76.8%,78.7%,19,56,24,39
tract,26111291400,3891,9.2%,,15,76.3%,76.4%,44,72,9,52
tract,26151970800,5667,9.2%,,0,77.7%,75.0%,45,43,16,60
tract,26091061900,4460,9.2%,,16,77.0%,78.9%,57,62,12,30
tract,26163556900,3867,9.2%,,62,78.2%,80.2%,5,19,44,93
tract,26163563400,5004,9.2%,,65,78.8%,79.8%,7,32,36,59
tract,26163574800,3815,9.2%,1.0,70,78.1%,76.9%,28,2,12,30
tract,26163576500,3784,9.2%,2.0,73,77.5%,78.1%,29,23,30,29
tract,26163581600,5978,9.2%,,73,77.9%,77.9%,46,72,52,76
tract,26065006401,4343,9.1%,,45,77.4%,79.7%,6,38,13,12
tract,26045020902,4111,9.1%,,65,76.8%,74.8%,23,64,14,55
tract,26099251300,2273,9.1%,,52,77.9%,81.9%,15,21,11,40
tract,26081000300,5233,9.1%,,68,77.4%,76.1%,19,70,24,7
tract,26081011902,7614,9.1%,,65,78.2%,80.1%,0,14,28,48
tract,26093733602,3827,9.1%,,0,76.9%,79.2%,28,44,12,51
tract,26099232100,6466,9.1%,,72,79.7%,77.0%,53,34,44,28
tract,26099240900,1938,9.1%,,59,78.7%,75.4%,48,41,33,3
tract,26099243000,4438,9.1%,,65,79.7%,82.3%,3,18,20,18
tract,26121002900,5488,9.1%,,36,77.3%,75.8%,32,70,19,27
tract,26123971000,5138,9.1%,,15,77.1%,72.2%,46,71,16,44
tract,26125127000,5630,9.1%,,30,77.6%,79.9%,11,9,17,40
tract,26125127400,1704,9.1%,,31,77.1%,73.9%,31,12,13,21
tract,26125144400,4963,9.1%,,38,77.1%,77.1%,33,49,35,57
tract,26163586300,2098,9.1%,,73,76.8%,77.6%,14,25,28,58
tract,26163572200,6146,9.1%,,74,76.6%,78.5%,61,75,19,71
tract,26163576200,2221,9.1%,,73,77.2%,78.3%,14,5,20,7
tract,26021020200,5370,9.1%,,24,77.8%,77.5%,26,76,25,52
tract,26037011001,3719,9.1%,,14,78.0%,73.4%,45,52,18,25
tract,26049012100,2501,9.1%,,32,76.9%,79.3%,59,43,23,27
tract,26049010610,5331,9.1%,,0,77.4%,74.1%,36,74,18,69
tract,26049011209,6271,9.1%,,30,78.3%,80.3%,32,70,39,52
tract,26055550600,10503,9.1%,,27,79.5%,77.0%,26,16,13,36
tract,26099252000,2453,9.1%,3.0,46,78.7%,77.8%,36,25,27,18
tract,26099220002,4727,9.1%,,30,77.8%,79.5%,43,68,22,41
tract,26123971200,4631,9.1%,,22,77.1%,75.5%,46,81,25,78
tract,26077001501,4724,9.1%,,58,77.6%,78.9%,59,91,35,11
tract,26077002700,8220,9.1%,,36,76.9%,79.5%,2,30,19,35
tract,26125191300,4003,9.1%,,52,78.7%,79.1%,2,7,31,22
tract,26077006702,6254,9.1%,,50,76.7%,77.1%,7,58,15,50
tract,26081000500,4073,9.1%,2.4,79,77.2%,78.7%,25,15,34,43
tract,26127010500,3234,9.1%,,0,77.7%,70.6%,72,89,33,84
tract,26125145700,3135,9.1%,,53,77.2%,71.9%,41,72,52,69
tract,26125156200,6898,9.1%,,49,77.9%,75.7%,13,10,22,21
tract,26081010904,7593,9.1%,,16,77.4%,77.0%,23,12,13,35
tract,26081012003,7555,9.1%,,21,76.4%,78.3%,6,73,24,56
tract,26139021605,4136,9.1%,,44,79.9%,79.2%,6,23,31,17
tract,26081014805,7360,9.1%,,73,78.2%,77.0%,5,19,46,28
tract,26149040800,3370,9.1%,,39,76.5%,71.6%,53,76,44,85
tract,26165380200,4607,9.1%,,0,76.9%,72.8%,63,59,9,67
tract,26115830700,3725,9.1%,,0,77.2%,72.4%,44,71,24,30
tract,26115831200,6800,9.1%,,29,77.0%,72.7%,25,15,21,5
tract,26115831300,4900,9.1%,,36,77.4%,72.0%,45,17,14,9
tract,26093724003,2603,9.1%,,49,77.6%,78.1%,5,58,11,16
tract,26099261500,3409,9.1%,,77,80.0%,80.9%,23,22,54,40
tract,26163583800,4876,9.1%,,76,78.3%,77.4%,27,50,48,60
tract,26067031200,5120,9.0%,,13,77.2%,77.0%,32,56,19,40
tract,26005031300,4886,9.0%,,20,76.8%,76.9%,43,50,10,65
tract,26049012907,2218,9.0%,,37,77.1%,78.6%,19,9,7,14
tract,26099245300,4404,9.0%,,59,78.4%,76.8%,48,28,30,51
tract,26099254500,4251,9.0%,,67,79.3%,79.5%,48,54,28,62
tract,26125190500,2525,9.0%,,43,77.7%,78.0%,4,1,35,29
tract,26111290100,3521,9.0%,,75,76.1%,76.5%,65,79,3,26
tract,26125134300,5257,9.0%,,46,77.2%,76.0%,22,5,20,58
tract,26161404100,3151,9.0%,,74,72.7%,77.8%,10,25,42,6
tract,26163583500,2624,9.0%,,73,76.8%,75.3%,38,29,22,38
tract,26067031500,5687,9.0%,,26,77.6%,77.7%,29,65,17,18
tract,26067031600,5395,9.0%,,43,77.4%,76.0%,65,81,28,16
tract,26025004000,3969,9.0%,,56,76.6%,74.1%,54,60,14,22
tract,26033970500,3608,9.0%,,0,77.8%,75.6%,43,96,45,46
tract,26049011402,4096,9.0%,,35,77.4%,81.2%,35,4,26,44
tract,26049011505,2424,9.0%,,44,77.8%,77.7%,47,52,31,72
tract,26049010113,2373,9.0%,,21,76.7%,76.7%,74,85,43,62
